Website,Question,Answer
https://www.ireland.ie/en/spain/madrid/news-and-events/news-archive/visa-faqs/,When will you return my original documents?,"We will return original documentswhen the decision is made. You must:
- Include alistof the documents you want returned and
- Include aphotocopyof each document.
- If you do not provide a photocopy, we will not return the documents."
https://www.ireland.ie/en/spain/madrid/news-and-events/news-archive/visa-faqs/,How can I contact the Visa Office and how do I request an appoinment?,"Email queries and requests for appointments:madrid.visados@dfa.ie
We strongly recommend reading all the information in the Frequently Asked Questions before sending an email.The Visa Officewill not reply to queries that are covered in the FAQs.
We endeavour to reply to emails within three working days. However, during peak times such as Christmas, Easter and summer, waiting time may be longer given the volume of queries the Embassy receives.
Public office:The Visa Office is open forapplication submissionsby appointment only.
- Opening hours:Wednesday, 12:00 – 13:30
- Address:Embassy of Ireland, Paseo de la Castellan, 46 - 4, 28046 Madrid
Please seeCan I submit my application in person at the Embassy?"
https://www.ireland.ie/en/spain/madrid/news-and-events/news-archive/visa-faqs/,How long will my application take?,"Visa processing, includingVisit visas, takesa minimum of 8 weeks from the time we receive all the required documents, therefore we strongly advise you to apply with sufficient time and to make sure you submit all the required documents. If documents are missing, the application will be delayed.
Business visasare processed in4 weeksfrom the time we receiveall the required documents. If documents are missing, the application will be delayed.
Applications are processed strictly in the order they are received and there isno expedited process. If you are planning to travel at Christmas, Easter or summer, you may submit your application up to 12 weeks before the intended travel date."
https://www.ireland.ie/en/spain/madrid/news-and-events/news-archive/visa-faqs/,How much does it cost to apply for a visa? Can I apply for a multiple entry visa?,"The following fees apply:
- Single Entry Visa: €60
- Multiple Entry Visa:€100
Some applicants are exempt from the requirement to pay a visa fee. Check thevisa fee pageof the Irish Immigration website to see if the fee applies to you.
Nationals of the countries included in the Irish Short Stay Visa Waiver Programme who are long term legal residents in Spain are currently exempt from paying the visa fee. This applies until further notice. Please see thevisa fee section of the Irish Immigration website.
When applying for abusiness visaor avisa to visit family, or for certainlong-stay visas, you may apply for amultiple entry visa. You must justify your request for a multiple entry visa and, as with all visa applications, the granting of a multi-entry visa is at the discretion of the Visa Officer. Paying the fee for a Multiple Entry Visa does not guarantee that one will be granted. Please note thatConferencevisas are generally issued assingle entry."
https://www.ireland.ie/en/spain/madrid/news-and-events/news-archive/visa-faqs/,How do I pay the visa fee?,"The visa fee can only be paid bybank transferand must be paid to the following account:
- Bank Account Name: Embajada de Irlanda
- Bank Address: BBVA, C/Claudio Coello 92, Madrid 28006
- Bank Account No: 0182 1932 44 0201542340
- IBAN Code:  ES90 0182 1932 44 0201542340
- Swift/BIC code:  BBVAESMMXXX
You must includeyour nameand the word ‘VISA’ in the Observaciones/concepto of the transfer to ensure that the fee is registered on your application.
Some applicants are exempt from the requirement to pay a visa fee. Check thevisa fee pageof the Irish Immigration website to see if the fee applies to you."
https://www.ireland.ie/en/spain/madrid/news-and-events/news-archive/visa-faqs/,Do I need a certified translation of documents in Spanish?,"According to the requirements, all documents that are not in English must be translated by a certified translator.
- You must submit the original document with the certified translation.Please note we cannot accept the translation without the original document.
- If you want thecertified translation returned, you mustprovide a photocopy of the translation.
The following documents donotneed to be translated if they are in Spanish:
- Identity documents or renewal of Spanish residence card
- Bank statements and tax documents.
If you have any queries on translation of documents, you maycontact us by email."
https://www.ireland.ie/en/spain/madrid/news-and-events/news-archive/visa-faqs/,"According to the requirements, all documents that are not in English must be translated by a certified translator.  You must submit the original document with the certified translation. Please note we cannot accept the translation without the original document. If you want the certified translation returned, you must provide a photocopy of the translation. The following documents do not need to be translated if they are in Spanish:  Identity documents or renewal of Spanish residence card Bank statements and tax documents. If you have any queries on translation of documents, If you have any queries on translation of documents, you may email Madrid.Visados@dfa.ie","- Given the volume of applications that the Visa Office handles, the Embassydoes not acknowledge reception of applications or documents nor provide status updates.
- Should you wish confirmation of delivery to the Embassy, you must use Recorded delivery (con acuse de recibo) when you send your application by registered post or courier.
- We will be in contact by email to request any missing documents and when the decision is made."
https://www.ireland.ie/en/spain/madrid/news-and-events/news-archive/visa-faqs/,How do I get my documents back when you have made a decision on my visa?,"There are three options for receiving your documents. You may:
- Collect your passport from theEmbassy by appointment, which can be made byemailing us.The Visa Office is open to the public on Tuesday and Thursday, 12.00 - 13.30.
- Send acourierto collect it. The Embassy's office hours are 9.00 – 16.45. Please advise us when the courier is going to arrive.
- Send aprepaid envelope, which can be bought in any Correos office. Place it inside another envelope and send it to the Embassy with a letter indicating your complete address with the postal code. Please write thecomplete address clearly and legibly on the envelope. Ensure you include thepostal codeand we suggest you include your telephone number (9 digit format)."
https://www.ireland.ie/en/spain/madrid/news-and-events/news-archive/visa-faqs/,"I have lost my valid Irish Residence Permit (IRP) and I am visa required, what should I do?","You need to make a police report;
If your passport has also been stolen, you need to get an emergency passport from your country's Embassy/Consulate;
You then need to send an email (madrid.visados@dfa.ie) to the Embassy’s Visa Section outlining the situation and attaching any supporting documents (copy of passport, IRP, proof of residence, etc.) and the Visa Section will contact you during working hours."
https://www.ireland.ie/en/spain/madrid/news-and-events/news-archive/visa-faqs/,"I have lost my valid Irish Residence Permit (IRP) and I am not visa required, what should I do?","You should file a police report if your IRP has been lost or stolen;
If your passport has been stolen, you must apply for an emergency passport first from your Embassy/Consulate;
You should contact the relevant Unit in the Department of Justice in Dublin (immigrationsupport@justice.ie) and advise that your IRP has been lost/stolen/expired and that you need to request a new one;
You can contact the Embassy’s Visa Section (madrid.visados@dfa.ie) during working hours if you require further assistance."
